[KeOps] Warning : cuda was detected, but driver API could not be initialized. Switching to cpu only.
Folder already exists: results/cora
experiment: 0
Dataset size (num_nodes): 2485, Intended development set size (num_development): 1500
Dataset size (num_nodes): 2485, Actual development set size (num_development): 1500
rations: train 140, val 1360, test 985
sigma 1.0
rtol 0.01
t1 20.0
Dataset size (num_nodes): 2485, Intended development set size (num_development): 1500
Dataset size (num_nodes): 2485, Actual development set size (num_development): 1500
rations: train 140, val 1360, test 985
GNSDEEarly
qy0_mean
torch.Size([1, 80])
qy0_logvar
torch.Size([1, 80])
m1.weight
torch.Size([80, 1433])
m1.bias
torch.Size([80])
m2.weight
torch.Size([7, 80])
m2.bias
torch.Size([7])
gnsde_drift_net.0.layer.weight
torch.Size([80, 81])
gnsde_drift_net.0.layer.bias
torch.Size([80])
gnsde_drift_net.1.layer.weight
torch.Size([80, 80])
gnsde_drift_net.1.layer.bias
torch.Size([80])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.beta_sc
torch.Size([1])
odeblock.odefunc.w
torch.Size([80, 80])
odeblock.odefunc.d
torch.Size([80])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.beta_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.w
torch.Size([80, 80])
odeblock.reg_odefunc.odefunc.d
torch.Size([80])
Epoch: 001, Runtime 143.885171, Loss 69.144691, forward nfe 76, backward nfe 0, Train: 0.1857, Val: 0.2772, Test: 0.2396, Best time: 1.0000
Epoch: 002, Runtime 184.738227, Loss 294.023102, forward nfe 372, backward nfe 0, Train: 0.1429, Val: 0.3118, Test: 0.2873, Best time: 54.8843
Epoch: 003, Runtime 140.480942, Loss 76.124352, forward nfe 668, backward nfe 0, Train: 0.1429, Val: 0.3118, Test: 0.2873, Best time: 18.2948
Epoch: 004, Runtime 43.154877, Loss 16.172855, forward nfe 964, backward nfe 0, Train: 0.1429, Val: 0.3118, Test: 0.2873, Best time: 18.2948
Epoch: 005, Runtime 37.893812, Loss 12.111838, forward nfe 1260, backward nfe 0, Train: 0.1429, Val: 0.3118, Test: 0.2873, Best time: 18.2948
Epoch: 006, Runtime 37.442323, Loss 10.434442, forward nfe 1556, backward nfe 0, Train: 0.1429, Val: 0.3118, Test: 0.2873, Best time: 18.2948
Epoch: 007, Runtime 37.829021, Loss 9.373872, forward nfe 1852, backward nfe 0, Train: 0.1429, Val: 0.3118, Test: 0.2873, Best time: 18.2948
Epoch: 008, Runtime 35.811301, Loss 9.232650, forward nfe 2148, backward nfe 0, Train: 0.1429, Val: 0.3118, Test: 0.2873, Best time: 18.2948
Epoch: 009, Runtime 31.201621, Loss 9.251473, forward nfe 2444, backward nfe 0, Train: 0.1429, Val: 0.3118, Test: 0.2873, Best time: 18.2948
Epoch: 010, Runtime 32.688570, Loss 8.513959, forward nfe 2740, backward nfe 0, Train: 0.1429, Val: 0.3118, Test: 0.2873, Best time: 18.2948
Epoch: 011, Runtime 33.532969, Loss 8.303836, forward nfe 3036, backward nfe 0, Train: 0.1429, Val: 0.3118, Test: 0.2873, Best time: 18.2948
